mass_A
t	x	y
0.0	0.6447829379369129	0.5064834517254678
0.009999999999999998	0.6447876007723826	0.5064929330128535
0.019999999999999997	0.6447897958259071	0.5064841155688999
0.029999999999999992	0.6447798695125165	0.506481146896759
0.039999999999999994	0.6447992819215952	0.506478245175497
0.04999999999999999	0.6448024723542073	0.5064790641800301
0.05999999999999976	0.6447817995929107	0.5064907183949195
0.06999999999999976	0.6447953408068295	0.5064726337309049
0.07999999999999975	0.6447751509919074	0.5064822625733236
0.08999999999999976	0.6447653076323133	0.5065048290417301
0.09999999999999974	0.644779544021803	0.5064976250951567
0.10999999999999975	0.6447837057336884	0.5064982461831589
0.11999999999999975	0.6447804151981057	0.5064890743770881
0.12999999999999975	0.6447773871080295	0.5065010649756108
0.13999999999999974	0.6447674590525098	0.5064989761412491
0.14999999999999974	0.6447722029362809	0.5064860762275588
0.15999999999999975	0.6447727392573236	0.5064895998059118
0.16999999999999973	0.6447631008524924	0.5064933374507291
0.17999999999999974	0.6447455219242192	0.5062695653998116
0.18999999999999975	0.6442387651315978	0.5053835389778419
0.1999999999999997	0.6437158422977095	0.5036199291769978
0.20999999999999971	0.6426086761130957	0.5016737989243181
0.21999999999999972	0.6413605039059213	0.4986201105000838
0.2299999999999997	0.6400070563526951	0.4951615754028882
0.2399999999999997	0.6380775071007506	0.491134679134537
0.24999999999999994	0.6360785545778928	0.4864025607015062
0.25999999999999995	0.6336112450105152	0.4811863142615078
0.26999999999999996	0.6311815236360386	0.47540645663752645
0.2799999999999999	0.6285382983486235	0.46927202387186145
0.2899999999999999	0.6252893304303876	0.4622463518226976
0.29999999999999993	0.6218626442745224	0.4541348697044898
0.30999999999999994	0.6181879052063234	0.44594019229550586
0.31999999999999995	0.6141237533271439	0.43717203681074157
0.32999999999999974	0.6099644371902114	0.42782047928877165
0.3399999999999997	0.605345958621779	0.41811845192981006
0.3499999999999997	0.6001662821143386	0.40749017007004684
0.3599999999999997	0.5946588542493058	0.3965123154244045
0.3699999999999997	0.5885376555072496	0.38494967536978686
0.3799999999999997	0.5821655542818466	0.3733130604354356
0.3899999999999997	0.5752902341982892	0.3612146431981452
0.39999999999999963	0.5676888885740435	0.348035361548919
0.40999999999999964	0.5595678127729876	0.33478464406593395
0.41999999999999965	0.5508417032809779	0.321376852007809
0.42999999999999966	0.5416521229592689	0.3079835722485148
0.43999999999999967	0.5314711000303444	0.29368404682215915
0.4499999999999997	0.5210586041654525	0.27907075875666143
0.45999999999999963	0.5094834517484809	0.2644721990731142
0.46999999999999964	0.4974519910994383	0.2505264212207825
0.47999999999999965	0.48470314489829847	0.23558216719595515
0.48999999999999966	0.47129785417554293	0.2224415459411787
0.4999999999999999	0.45674870819992053	0.20659229754640474
0.5099999999999999	0.4420060089501442	0.1922603782196477
0.5199999999999999	0.42571316215868527	0.17769255098230075
0.5299999999999999	0.40949335686068966	0.1642613820655341
0.5399999999999999	0.39199605031358253	0.1508531245154977
0.5499999999999999	0.37358991116002527	0.13693485934870364
0.5599999999999998	0.35452640685059345	0.1243043207305441
0.5699999999999998	0.33435258581194793	0.11189104872893418
0.5799999999999998	0.31376407913436644	0.09970785974790553
0.5899999999999996	0.29266825472608204	0.08862353125520173
0.5999999999999996	0.27024418969757236	0.07764583486972232
0.6099999999999997	0.24833817423678062	0.06737903049502114
0.6199999999999997	0.22602066897088102	0.058034144590823566
0.6299999999999997	0.20218610597933773	0.04855426381902739
0.6399999999999997	0.1781468015641785	0.04068017211224029
0.6499999999999997	0.15382250346599957	0.033351073227278816
0.6599999999999997	0.12882599344965884	0.027034664855134283
0.6699999999999997	0.10341605747819904	0.022182869547902384
0.6799999999999996	0.07832199424948416	0.01782341401599641
0.6899999999999996	0.05194582026574135	0.015158827021548582
0.6999999999999996	0.026166590836732784	0.013384017173999396
0.7099999999999996	8.229054062725005E-5	0.012682494017306478
0.7199999999999996	-0.025167899585318065	0.013777580381023391
0.7299999999999996	-0.05148117228951299	0.015306653599180153
0.7399999999999997	-0.0770649082780519	0.018388523704740423
0.7499999999999999	-0.10324594996512837	0.0228822509539659
0.7599999999999999	-0.1273856374287753	0.026870895728751232
0.7699999999999998	-0.15156381811607256	0.03255823363961918
0.7799999999999998	-0.1761849831357749	0.03925594118308795
0.7899999999999998	-0.19978883890300136	0.04643971553602522
0.7999999999999998	-0.22227500417697943	0.055353894984214946
0.8099999999999997	-0.24507924942622866	0.06430221613923148
0.8199999999999997	-0.2665127294134842	0.07417060246188134
0.8299999999999997	-0.2881166564950329	0.08640688763224447
0.8399999999999997	-0.307717296565593	0.09643019501794126
0.8499999999999998	-0.32724073614178467	0.10797009114555489
0.8599999999999995	-0.3458865048643831	0.12062529784581222
0.8699999999999996	-0.3644118927184525	0.13332632776319642
0.8799999999999998	-0.38103883665989524	0.14623907552246096
0.8899999999999996	-0.396943276355124	0.1601099440554461
0.8999999999999998	-0.4129248363218158	0.17380592542904028
0.9099999999999996	-0.4272540342839827	0.18758839214938494
0.92	-0.4407274003535825	0.2016219389335619
0.9299999999999995	-0.45389894871904196	0.2156187482679533
0.94	-0.46442405447927126	0.23158208372036426
0.9499999999999995	-0.47737804470890627	0.24329758989015077
0.96	-0.4882777066234956	0.2571013604631412
0.9699999999999995	-0.49882689233735944	0.2706815970118115
0.98	-0.5083197843427488	0.2839456067178883
0.9899999999999995	-0.5173612927620564	0.29671839144756845
0.9999999999999996	-0.5264286073068001	0.30927618702215026
1.0099999999999996	-0.534713931345284	0.32168914088810935
1.0199999999999996	-0.5422138020829194	0.3335134512361798
